1 1 25.867
1 2 29.514
1 3 30.375
1 4 31.07
1 5 30.63
1 6 4.51853e-310
1 7 19.8956
1 8 33.36
1 9 27.2
1 10 32.349
2 1 25.548
2 2 29.177
2 3 29.612
2 4 30
2 5 29.465
2 6 6.53449e-310
2 7 16.6702
2 8 32.654
2 9 27.045
2 10 31.725
3 1 26.8
3 2 30.648
3 3 31.158
3 4 31.651
3 5 31.195
3 6 6.39546e-310
3 7 18.31
3 8 34.354
3 9 28.315
3 10 33.396
4 1 22.215
4 2 25.29
4 3 26.115
4 4 26.96
4 5 26.295
4 6 4.51853e-310
4 7 17.3615
4 8 29.1
4 9 23.425
4 10 28.53
5 1 23.458
5 2 26.881
5 3 27.619
5 4 28.327
5 5 28.189
5 6 4.17095e-310
5 7 18.5073
5 8 30.457
5 9 24.645
5 10 29.664
6 1 26.412
6 2 30.278
6 3 30.614
6 4 30.973
6 5 30.68
6 6 6.67352e-310
6 7 17.3574
6 8 33.702
6 9 27.92
6 10 32.729
7 1 24.262
7 2 27.825
7 3 28.494
7 4 29.166
7 5 29.026
7 6 4.44902e-310
7 7 18.8156
7 8 31.378
7 9 25.49
7 10 30.528
8 1 26.105
8 2 29.953
8 3 30.229
8 4 30.524
8 5 30.315
8 6 6.74304e-310
8 7 16.8472
8 8 33.25
8 9 27.605
8 10 32.27
9 1 21.61
9 2 24.315
9 3 25.461
9 4 26.153
9 5 25.176
9 6 4.17095e-310
9 7 16.1072
9 8 28.183
9 9 22.88
9 10 27.407
10 1 25.472
10 2 29.242
10 3 29.782
10 4 30.378
10 5 30.215
10 6 5.00514e-310
10 7 19.063
10 8 32.738
10 9 26.775
10 10 31.803
